34,Medfield/Hampden/Woodberry/Remington,0.010869565,122.4392578,0.168090373,-0.143675677,0.277689719,11.48284221,0.826695699,18.84519754,0.277689719,1,
35,Midtown,0.053262317,83.75246278,2.342840589,-0.327207507,6.729121973,15.57175381,7.123897788,8.148598713,6.729121973,1,
36,Midway/Coldstream,0.000415628,140.5270607,-0.368197133,-0.057866357,0.182636246,11.6715806,0.673222972,22.77381415,0.182636246,1,
37,Morrell Park/Violetville,0.001004016,255.741581,-0.338012776,0.488716314,0.923131833,8.333017975,0.105448488,20.5004082,0.105448488,3,
38,Mount Washington/Coldspring,0.005417957,304.8044423,-0.11157741,0.721472651,1.432815285,6.7408414,0,17.95143438,0,3,
39,North Baltimore/Guilford/Homeland,0.005153459,41.67216379,-0.125146176,-0.526838266,0.018432093,14.54782278,1.558464258,22.96014202,0.018432093,1,
40,Northwood,0.002884095,11.45764917,-0.241564615,-0.670177231,0.040991032,15.82544001,1.953586069,24.67492219,0.040991032,1,
41,Oldtown/Middle East,0.009380301,141.5829532,0.091691065,-0.052857157,0.287160733,10.95362057,0.640904726,19.03057925,0.287160733,1,
42,Orangeville/East Highlandtown,0.007228124,190.017692,-0.018715739,0.17691934,0.467959053,9.629904636,0.305161599,18.96750353,0.305161599,3,
43,Patterson Park North & East,0.000618599,45.32733903,-0.357784679,-0.509497957,0.013923169,14.81293132,1.575906657,24.80159017,0.013923169,1,
44,Penn North/Reservoir Hill,0.002378982,35.08265458,-0.267476947,-0.558099183,0.008557136,15.01142139,1.661608745,24.29129945,0.008557136,1,
45,Pimlico/Arlington/Hilltop,0.002031144,22.33239664,-0.285321053,-0.618586959,0.02417488,15.50322472,1.825946611,24.76100201,0.02417488,1,
46,Poppleton/The Terraces/Hollins Market,0.002752654,1159.345476,-0.248307548,4.775452299,27.49168475,3.161497483,16.45344612,24.65356706,3.161497483,2,
47,Sandtown-Winchester/Harlem Park,0.001812567,21.18264791,-0.296534068,-0.624041416,0.026825673,15.56522062,1.844617071,24.88442437,0.026825673,1,
48,South Baltimore,0.001092726,187.0399766,-0.333461975,0.162792929,0.40505249,10.20873347,0.361355792,21.59207295,0.361355792,3,
49,Southeastern,0.006709265,465.6231768,-0.045333221,1.484403688,3.851926976,3.425133752,0.586452059,15.96326889,0.586452059,3,
50,Southern Park Heights,0.000752785,24.03832832,-0.350900927,-0.610493945,0.031073909,15.56251289,1.831410759,25.27206827,0.031073909,1,
51,Southwest Baltimore,0.00100643,49.22653993,-0.337888943,-0.490999979,0.008726196,14.63744629,1.521306789,24.5375177,0.008726196,1,
52,The Waverlies,0.000773894,183.8702577,-0.349818051,0.147755645,0.389396564,10.33181906,0.385909805,21.78837795,0.385909805,3,
53,Upton/Druid Heights,0.002610714,11.89579538,-0.255589115,-0.668098647,0.040186989,15.83327635,1.951647763,24.78017771,0.040186989,1,
54,Washington Village/Pigtown,0.012175177,434.9688424,0.23506833,1.338978199,3.497221252,3.663018862,0.50147637,14.01309641,0.50147637,3,
55,Westport/Mount Winans/Lakeland,0,255.3701778,-0.389518849,0.486954361,0.931751167,8.442602178,0.132250272,20.94603566,0.132250272,3,
